Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:46:40
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987189
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_1n_1ont_32k_aps
Elapsed Time, s;1.30
SP GFLOPS;1.42
DP GFLOPS;0.67
Average CPU Frequency, GHz;                      1.21
Instructions Per Cycle Rate;0.84
MPI Time, s;0.08
MPI Time, % of Elapsed Time;6.01
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.07
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;5.62
MPI Hotspot 2 - MPI_Finalize, s;0.00
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.19
MPI Hotspot 3 - MPI_Alltoallv, s;0.00
MPI Hotspot 3 - MPI_Alltoallv, % of Elapsed Time;0.13
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.03
MPI Hotspot 5 - MPI_Bcast, s;0.00
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.02
Memory Stalls, % of Pipeline Slots;16.40
Cache Stalls, % of Cycles;23.60
DRAM Stalls, % of Cycles;0.80
DRAM Bandwidth Peak, GB/s;6.21
DRAM Bandwidth Average, GB/s;0.29
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;33.30
Vectorization, %;33.80
SP FLOPs, % of uOps;5.00
Packed, % from SP FP;44.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;44.00
SP Scalar, % from SP FP;56.00
DP FLOPs, % of uOps;6.50
DP Packed, % from DP FP;25.90
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;25.90
DP Scalar, % from DP FP;74.10
Non-FP, % of uOps;88.50
FP Arith/Mem Rd Instr. Ratio;0.43
FP Arith/Mem Wr Instr. Ratio;1.15
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        140.00
Virtual,MB;        742.00
