Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:16:44
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987206
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_1n_1ont_256k_aps
Elapsed Time, s;11.27
SP GFLOPS;5.43
DP GFLOPS;1.69
Average CPU Frequency, GHz;                      1.59
Instructions Per Cycle Rate;0.65
MPI Time, s;0.09
MPI Time, % of Elapsed Time;0.76
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.08
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.68
MPI Hotspot 2 - MPI_Finalize, s;0.01
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.05
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.00
Memory Stalls, % of Pipeline Slots;26.20
Cache Stalls, % of Cycles;30.10
DRAM Stalls, % of Cycles;2.10
DRAM Bandwidth Peak, GB/s;6.22
DRAM Bandwidth Average, GB/s;1.65
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;1.30
Vectorization, %;95.50
SP FLOPs, % of uOps;7.50
Packed, % from SP FP;100.00
SP 128-bit, %;0.80
SP 256-bit, %;0.00
SP 512-bit, %;99.20
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.10
DP Packed, % from DP FP;88.90
DP 128-bit, %;0.00
DP 256-bit, %;0.60
DP 512-bit, %;88.30
DP Scalar, % from DP FP;11.10
Non-FP, % of uOps;87.40
FP Arith/Mem Rd Instr. Ratio;0.78
FP Arith/Mem Wr Instr. Ratio;2.08
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        243.00
Virtual,MB;       2879.00
