Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:56:51
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987106
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_1n_1ont_256k_aps
Elapsed Time, s;7.14
SP GFLOPS;1.66
DP GFLOPS;0.82
Average CPU Frequency, GHz;                      1.51
Instructions Per Cycle Rate;0.93
MPI Time, s;0.07
MPI Time, % of Elapsed Time;1.01
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.06
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.84
MPI Hotspot 2 - MPI_Finalize, s;0.01
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.09
MPI Hotspot 3 - MPI_Alltoallv, s;0.00
MPI Hotspot 3 - MPI_Alltoallv, % of Elapsed Time;0.04
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.03
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.00
Memory Stalls, % of Pipeline Slots;18.50
Cache Stalls, % of Cycles;19.40
DRAM Stalls, % of Cycles;5.70
DRAM Bandwidth Peak, GB/s;6.82
DRAM Bandwidth Average, GB/s;1.67
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;2.60
Vectorization, %;54.50
SP FLOPs, % of uOps;2.50
Packed, % from SP FP;79.00
SP 128-bit, %;0.00
SP 256-bit, %;10.60
SP 512-bit, %;68.40
SP Scalar, % from SP FP;21.00
DP FLOPs, % of uOps;4.00
DP Packed, % from DP FP;39.00
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;39.00
DP Scalar, % from DP FP;61.00
Non-FP, % of uOps;93.40
FP Arith/Mem Rd Instr. Ratio;0.26
FP Arith/Mem Wr Instr. Ratio;0.69
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        246.00
Virtual,MB;       2900.00
