Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:56:35
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987014
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_1n_1ont_2048k_aps
Elapsed Time, s;0.73
SP GFLOPS;0.00
DP GFLOPS;0.98
Average CPU Frequency, GHz;                      1.18
Instructions Per Cycle Rate;0.97
MPI Time, s;0.08
MPI Time, % of Elapsed Time;10.39
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.07
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;9.97
MPI Hotspot 2 - MPI_Finalize, s;0.00
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.31
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.04
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.03
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.02
Memory Stalls, % of Pipeline Slots;13.10
Cache Stalls, % of Cycles;21.30
DRAM Stalls, % of Cycles;0.80
DRAM Bandwidth Peak, GB/s;5.99
DRAM Bandwidth Average, GB/s;0.43
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;6.80
Vectorization, %;0.40
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;26.50
DP Packed, % from DP FP;0.40
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.40
DP Scalar, % from DP FP;99.60
Non-FP, % of uOps;73.50
FP Arith/Mem Rd Instr. Ratio;0.89
FP Arith/Mem Wr Instr. Ratio;2.30
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        139.00
Virtual,MB;        459.00
