Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:37:49
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987366
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_1n_1ont_32k_aps
Elapsed Time, s;0.71
SP GFLOPS;0.00
DP GFLOPS;0.88
Average CPU Frequency, GHz;                      1.15
Instructions Per Cycle Rate;0.94
MPI Time, s;0.08
MPI Time, % of Elapsed Time;10.76
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.07
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;10.36
MPI Hotspot 2 - MPI_Finalize, s;0.00
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.29
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.04
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.03
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.02
Memory Stalls, % of Pipeline Slots;9.80
Cache Stalls, % of Cycles;21.50
DRAM Stalls, % of Cycles;0.80
DRAM Bandwidth Peak, GB/s;6.05
DRAM Bandwidth Average, GB/s;0.41
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;3.60
Vectorization, %;0.50
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;26.90
DP Packed, % from DP FP;0.50
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.50
DP Scalar, % from DP FP;99.50
Non-FP, % of uOps;73.10
FP Arith/Mem Rd Instr. Ratio;0.76
FP Arith/Mem Wr Instr. Ratio;2.15
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        139.00
Virtual,MB;        461.00
