Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:06:25
OpenMP threads number, per Process;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987114
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_1n_1ont_864k_aps
Elapsed Time, s;15.94
SP GFLOPS;6.14
DP GFLOPS;2.24
Average CPU Frequency, GHz;                      1.63
Instructions Per Cycle Rate;0.64
MPI Time, s;0.07
MPI Time, % of Elapsed Time;0.43
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.06
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.38
MPI Hotspot 2 - MPI_Finalize, s;0.01
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.04
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.00
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.00
Memory Stalls, % of Pipeline Slots;22.70
Cache Stalls, % of Cycles;22.50
DRAM Stalls, % of Cycles;5.50
DRAM Bandwidth Peak, GB/s;13.87
DRAM Bandwidth Average, GB/s;3.35
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;0.20
Vectorization, %;91.60
SP FLOPs, % of uOps;6.90
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;6.00
DP Packed, % from DP FP;81.90
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;81.90
DP Scalar, % from DP FP;18.10
Non-FP, % of uOps;87.20
FP Arith/Mem Rd Instr. Ratio;1.12
FP Arith/Mem Wr Instr. Ratio;2.39
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        472.00
Virtual,MB;       8506.00
